"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"AXISBANK","06-May-2019","30-May-2019","CE","440","0","0","0","277.7","0","309.45","0","0","0","0","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","900","1","1.35","0.9","1.1","1.1","1.1","31","335.24",".44","270000","15600","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","480","0","0","0","238.5","0","269.6","0","0","0","0","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","500","0","0","0","218.9","0","249.7","0","0","0","0","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","520","0","0","0","199.3","0","229.8","0","0","0","0","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","540","0","0","0","212.5","212.5","209.9","0","0","0","1200","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","560","0","0","0","160.65","0","189.95","0","0","0","0","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","570","0","0","0","202.85","0","180","0","0","0","0","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","580","0","0","0","141.7","0","170.05","0","0","0","0","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","590","0","0","0","198.5","0","160.1","0","0","0","0","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","600","0","0","0","160","160","150.15","0","0","0","19200","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","610","0","0","0","178.95","0","140.2","0","0","0","0","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","620","0","0","0","134","134","130.25","0","0","0","2400","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","630","0","0","0","159.65","0","120.3","0","0","0","0","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","640","0","0","0","108","108","110.4","0","0","0","1200","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","650","0","0","0","103","103","100.55","0","0","0","1200","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","660","0","0","0","113.65","113.65","90.8","0","0","0","9600","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","670","0","0","0","122.4","0","81.15","0","0","0","0","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","680","0","0","0","71.4","71.4","71.7","0","0","0","6000","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","690","0","0","0","83","83","62.6","0","0","0","2400","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","700","0","0","0","71.85","71.85","53.85","0","0","0","51600","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","710","0","0","0","88.3","0","45.6","0","0","0","0","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","720","49.2","49.6","49","49.6","49.6","49.6","3","27.69","1.77","39600","1200","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","730","43.4","43.4","42","43","43","43","5","46.37","2.57","9600","3600","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","740","35.7","38.45","35.45","37.05","37","37.05","30","279.61","13.21","93600","2400","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","750","31","32.6","29.7","31.55","31.55","31.55","213","1996.59","79.59","153600","-4800","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","760","25.95","27.75","23.8","26.25","26.65","26.25","585","5517.5","182.3","544800","57600","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","770","19.05","23","19","21.8","22.2","21.8","514","4882.79","133.43","360000","-14400","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","780","15.6","19","15.3","18","18.5","18","516","4938.33","108.57","544800","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","790","12.65","15.6","12.55","14.55","14.6","14.55","257","2480.44","44.08","187200","30000","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","800","10.1","12.6","10","11.75","12","11.75","1144","11141.11","158.71","1172400","-44400","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","810","8.6","10.4","7.7","8.95","7.7","8.95","179","1759.83","19.95","139200","14400","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","820","6.25","8","6.25","7.35","7.5","7.35","746","7405.48","64.84","1214400","9600","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","830","3.55","6.3","3.55","5.8","5.8","5.8","121","1213.57","8.41","122400","2400","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","840","4","5","3.5","4.55","4.7","4.55","126","1276.77","6.69","199200","6000","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","850","3.8","3.95","2.8","3.6","3.7","3.6","81","829.58","3.38","196800","24000","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","860","3.2","3.2","2.2","2.7","2.7","2.7","28","289.9",".94","133200","9600","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","870","2","2.25","2","2.25","2.25","2.25","3","31.4",".08","13200","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","880","1.6","2","1.5","1.8","1.8","1.8","25","264.56",".56","67200","13200","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","890","0","0","0","1.3","1.3","0.1","0","0","0","15600","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","CE","460","0","0","0","258.1","0","289.5","0","0","0","0","0","747.45"
"AXISBANK","07-May-2019","30-May-2019","CE","440","0","0","0","277.7","0","303.75","0","0","0","0","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","900","1.1","1.2","1","1.05","1.05","1.05","12","129.76",".16","271200","1200","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","480","0","0","0","238.5","0","263.9","0","0","0","0","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","500","0","0","0","218.9","0","244","0","0","0","0","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","520","0","0","0","199.3","0","224.1","0","0","0","0","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","540","0","0","0","212.5","212.5","204.15","0","0","0","1200","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","560","0","0","0","160.65","0","184.25","0","0","0","0","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","570","0","0","0","202.85","0","174.3","0","0","0","0","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","580","0","0","0","141.7","0","164.35","0","0","0","0","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","590","0","0","0","198.5","0","154.4","0","0","0","0","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","600","0","0","0","160","160","144.45","0","0","0","19200","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","610","0","0","0","178.95","0","134.5","0","0","0","0","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","620","0","0","0","134","134","124.55","0","0","0","2400","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","630","0","0","0","159.65","0","114.6","0","0","0","0","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","640","0","0","0","108","108","104.7","0","0","0","1200","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","650","0","0","0","103","103","94.85","0","0","0","1200","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","660","0","0","0","113.65","113.65","85.1","0","0","0","9600","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","670","0","0","0","122.4","0","75.45","0","0","0","0","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","680","0","0","0","71.4","71.4","66.1","0","0","0","6000","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","690","0","0","0","83","83","57.05","0","0","0","2400","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","700","66.6","68","66.5","66.5","66.5","66.5","10","92.02","8.02","52800","1200","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","710","0","0","0","88.3","0","40.45","0","0","0","0","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","720","52.85","52.9","47.6","47.6","47.6","47.6","13","120.42","8.1","36000","-3600","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","730","45","46","39.85","40.1","40.35","40.1","5","46.38","2.58","9600","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","740","39.45","40","32","32.7","33","32.7","49","455.95","20.83","99600","6000","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","750","33.95","34.4","26.85","27.6","28.5","27.6","286","2677.19","103.19","194400","40800","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","760","28.35","29.25","22.35","23.1","24","23.1","610","5751","187.8","591600","46800","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","770","23.95","24.4","18.3","18.95","19.65","18.95","756","7181.91","196.47","516000","156000","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","780","20.15","20.25","14.8","15.45","16.2","15.45","1026","9814.2","210.84","603600","58800","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","790","16.45","16.6","11.85","12.35","13.25","12.35","484","4667.93","79.61","190800","3600","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","800","12.7","13.5","9.35","9.85","10.2","9.85","1405","13677.46","189.46","1200000","27600","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","810","10.35","10.35","7.5","7.8","7.8","7.8","50","491.08","5.08","132000","-7200","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","820","8.2","8.5","5.7","5.95","6.35","5.95","459","4556.03","39.47","1195200","-19200","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","830","6.05","6.85","4.5","4.75","4.8","4.75","53","531.35","3.47","135600","13200","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","840","5.2","5.2","3.5","3.8","3.8","3.8","37","374.81","1.85","190800","-8400","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","850","3.85","4.15","2.65","2.85","3","2.85","104","1064.79","3.99","186000","-10800","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","860","2.9","3.5","2.1","2.2","2.2","2.2","29","300.16",".88","130800","-2400","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","870","2.2","2.2","2.2","2.2","2.2","2.2","1","10.47",".03","13200","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","880","1.5","1.7","1.4","1.4","1.4","1.4","58","613.52","1.04","99600","32400","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","890","2","2","2","2","2","2","2","21.41",".05","15600","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","CE","460","0","0","0","258.1","0","283.85","0","0","0","0","0","741.85"
"AXISBANK","08-May-2019","30-May-2019","CE","440","0","0","0","277.7","0","297.3","0","0","0","0","0","735.5"
"AXISBANK","08-May-2019","30-May-2019","CE","900","1","1","0.7","0.75","0.75","0.75","14","151.34",".14","268800","-2400","735.5"
"AXISBANK","08-May-2019","30-May-2019","CE","480","0","0","0","238.5","0","257.45","0","0","0","0","0","735.5"
"AXISBANK","08-May-2019","30-May-2019","CE","500","0","0","0","218.9","0","237.55","0","0","0","0","0","735.5"
"AXISBANK","08-May-2019","30-May-2019","CE","520","0","0","0","199.3","0","217.65","0","0","0","0","0","735.5"
"AXISBANK","08-May-2019","30-May-2019","CE","540","0","0","0","212.5","212.5","197.7","0","0","0","1200","0","735.5"
"AXISBANK","08-May-2019","30-May-2019","CE","560","0","0","0","160.65","0","177.8","0","0","0","0","0","735.5"
"AXISBANK","08-May-2019","30-May-2019","CE","570","0","0","0","202.85","0","167.85","0","0","0","0","0","735.5"
"AXISBANK","08-May-2019","30-May-2019","CE","580","0","0","0","141.7","0","157.9","0","0","0","0","0","735.5"
"AXISBANK","08-May-2019","30-May-2019","CE","590","0","0","0","198.5","0","147.9","0","0","0","0","0","735.5"
"AXISBANK","08-May-2019","30-May-2019","CE","600","0","0","0","160","160","137.95","0","0","0","19200","0","735.5"
"AXISBANK","08-May-2019","30-May-2019","CE","610","0","0","0","178.95","0","128","0","0","0","0","0","735.5"
