"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"AXISBANK","06-May-2019","30-May-2019","PE","440","0","0","0","0.05","0","0","0","0","0","0","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","900","0","0","0","135.95","135.95","148.6","0","0","0","3600","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","480","0","0","0","0.05","0","0","0","0","0","0","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","500","0","0","0","0.05","0","0","0","0","0","0","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","520","0","0","0","0.15","0","0","0","0","0","0","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","540","0","0","0","0.3","0","0","0","0","0","0","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","560","0","0","0","0.7","0","0","0","0","0","0","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","570","0","0","0","1.15","1.15","0","0","0","0","1200","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","580","0","0","0","1.45","0","0","0","0","0","0","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","590","0","0","0","0.2","0","0","0","0","0","0","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","600","0","0","0","1.5","2","0","0","0","0","6000","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","610","0","0","0","0.4","0","0.05","0","0","0","0","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","620","1.95","2.4","1.7","2.25","2.25","2.25","172","1283.77","4.09","171600","98400","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","630","0","0","0","0.85","0","0.05","0","0","0","0","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","640","1.9","1.9","1.9","1.9","1.9","1.9","2","15.41",".05","106800","-2400","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","650","3","4.5","3","4.5","4.5","4.5","7","54.94",".34","21600","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","660","4.1","5.5","4","5.5","5.5","5.5","16","127.65",".93","108000","-6000","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","670","3.6","3.6","3.6","3.6","3.6","3.6","1","8.08",".04","37200","1200","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","680","6","8.25","5.55","7.45","7.55","7.45","98","807.84","8.16","216000","34800","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","690","7.5","7.55","7.5","7.55","7.55","7.55","2","16.74",".18","10800","1200","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","700","8.75","12","8.75","11.2","11.2","11.2","519","4424.97","65.37","842400","-4800","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","710","11.7","14.7","11.35","13.7","13.7","13.7","207","1796.05","32.41","102000","9600","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","720","15.6","17.85","14.2","16.75","16.35","16.75","426","3762.98","82.34","520800","10800","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","730","18.35","21.45","17.3","20.4","20","20.4","353","3174.82","82.54","1636800","13200","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","740","21.6","25.35","20.55","23.95","23.5","23.95","589","5392.54","162.22","362400","-8400","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","750","25.1","29.7","24.6","27.95","27.35","27.95","421","3926.03","137.03","345600","-8400","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","760","30.15","34.95","29.35","33.1","33.05","33.1","157","1492.09","60.25","410400","-32400","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","770","34.65","40.25","34.65","38.85","40.25","38.85","61","590.7","27.06","130800","4800","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","780","43.2","44.9","43.2","44.9","44.9","44.9","5","49.46","2.66","38400","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","790","0","0","0","39.2","39.2","45.05","0","0","0","7200","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","800","0","0","0","46","46","53.2","0","0","0","33600","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","810","0","0","0","55.4","55.4","61.85","0","0","0","2400","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","820","70","70","70","70","70","70","1","10.68",".84","2400","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","830","0","0","0","59.9","0","80.15","0","0","0","0","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","840","0","0","0","92","92","89.65","0","0","0","2400","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","850","0","0","0","82","82","99.3","0","0","0","0","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","860","0","0","0","138.55","0","109.05","0","0","0","0","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","870","0","0","0","89.4","0","118.9","0","0","0","0","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","880","0","0","0","156.85","0","128.75","0","0","0","0","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","890","0","0","0","105.85","0","138.65","0","0","0","0","0","747.45"
"AXISBANK","06-May-2019","30-May-2019","PE","460","0","0","0","0.05","0","0","0","0","0","0","0","747.45"
"AXISBANK","07-May-2019","30-May-2019","PE","440","0","0","0","0.05","0","0","0","0","0","0","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","900","0","0","0","135.95","135.95","154.35","0","0","0","3600","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","480","0","0","0","0.05","0","0","0","0","0","0","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","500","0","0","0","0.05","0","0","0","0","0","0","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","520","0","0","0","0.15","0","0","0","0","0","0","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","540","0","0","0","0.3","0","0","0","0","0","0","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","560","0","0","0","0.7","0","0","0","0","0","0","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","570","0","0","0","1.15","1.15","0","0","0","0","1200","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","580","0","0","0","1.45","0","0","0","0","0","0","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","590","0","0","0","0.2","0","0","0","0","0","0","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","600","0","0","0","1.5","2","0","0","0","0","6000","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","610","0","0","0","0.4","0","0.05","0","0","0","0","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","620","1.85","2.4","1.05","1.75","1.05","1.75","16","119.43",".39","175200","3600","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","630","0","0","0","0.85","0","0.05","0","0","0","0","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","640","3.9","3.9","3.85","3.9","3.85","3.9","2","15.45",".09","108000","1200","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","650","3.05","4.3","3","4.3","4.3","4.3","6","47.08",".28","26400","4800","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","660","4.4","5.7","4","5.45","5.1","5.45","109","869.36","6.08","121200","13200","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","670","5","5","5","5","5","5","1","8.1",".06","36000","-1200","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","680","6.5","8.85","6.1","8.15","7.85","8.15","125","1030.51","10.51","218400","2400","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","690","8.2","8.2","8.2","8.2","8.2","8.2","1","8.38",".1","12000","1200","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","700","11.2","12.95","9.15","12.3","12","12.3","535","4561.38","67.38","878400","36000","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","710","12.3","15.9","11.6","15.05","15.05","15.05","207","1796.96","33.32","106800","4800","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","720","14.85","19.2","14.15","18.6","18.25","18.6","394","3481.23","77.07","508800","-12000","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","730","15.6","22.95","15.6","22.2","22","22.2","263","2365.94","62.06","1630800","-6000","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","740","22","27.1","20.55","26.1","25","26.1","680","6228.54","190.14","355200","-7200","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","750","24.9","32.05","24.5","30.95","30","30.95","551","5140.29","181.29","325200","-20400","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","760","30","37.45","29","36.1","34.25","36.1","164","1559.84","64.16","404400","-6000","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","770","34.9","43.75","34.8","42.45","41","42.45","49","475.44","22.68","123600","-7200","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","780","40.65","47.3","40.4","47.3","47.3","47.3","5","49.37","2.57","37200","-1200","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","790","0","0","0","39.2","39.2","49.1","0","0","0","7200","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","800","61.9","61.9","61.9","61.9","61.9","61.9","1","10.34",".74","33600","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","810","62.95","62.95","62.95","62.95","62.95","62.95","1","10.48",".76","2400","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","820","0","0","0","70","70","75.9","0","0","0","2400","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","830","0","0","0","59.9","0","85.4","0","0","0","0","0","741.85"
"AXISBANK","07-May-2019","30-May-2019","PE","840","0","0","0","92","92","95.05","0","0","0","2400","0","741.85"
