"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","25100","0","0","0","1866.05","0","4582.15","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","31400","0","0","0","86.55","0","42.05","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","25300","0","0","0","1940.3","0","4382.95","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","25400","0","0","0","1977.35","0","4283.35","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","25500","0","0","0","1889.35","0","4183.75","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","25600","0","0","0","2002.8","0","4084.2","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","25700","0","0","0","1988.45","0","3984.6","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","25800","0","0","0","2019.75","0","3885","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","25900","0","0","0","1934.15","0","3785.4","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","26000","0","0","0","1849.95","0","3685.85","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","26100","0","0","0","1767.15","0","3586.3","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","26200","0","0","0","1685.9","0","3486.75","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","26300","0","0","0","1606.25","0","3387.25","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","26400","0","0","0","1528.3","0","3287.75","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","26500","0","0","0","1452.15","0","3188.3","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","26600","0","0","0","1378.9","0","3088.95","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","26700","0","0","0","1305.2","0","2989.65","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","26800","0","0","0","1234.85","0","2890.45","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","26900","0","0","0","1166.55","0","2791.35","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","27000","0","0","0","1100.4","0","2692.45","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","27100","0","0","0","1036.4","0","2593.75","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","27200","0","0","0","974.6","0","2495.35","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","27300","0","0","0","915.05","0","2397.2","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","27400","0","0","0","857.75","0","2299.45","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","27500","0","0","0","802.75","0","2202.2","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","27600","0","0","0","750.05","0","2105.5","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","27700","0","0","0","699.55","0","2009.45","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","27800","0","0","0","651.45","0","1914.2","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","27900","0","0","0","605.6","0","1819.85","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","28000","0","0","0","562.05","0","1726.55","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","28100","0","0","0","520.75","0","1634.45","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","28200","0","0","0","481.65","0","1543.75","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","28300","0","0","0","444.7","0","1454.55","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","28400","0","0","0","409.85","0","1367.1","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","28500","0","0","0","377.1","0","1281.5","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","28600","0","0","0","346.3","0","1198.05","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","28700","0","0","0","317.5","0","1116.8","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","28800","0","0","0","290.55","0","1038","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","28900","0","0","0","266.7","0","961.85","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","29000","0","0","0","242.35","0","888.25","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","29100","0","0","0","132.95","0","817.85","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","29200","0","0","0","117.1","0","750.45","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","29300","0","0","0","110.3","0","686.3","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","29400","0","0","0","95.95","0","625.4","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","29500","0","0","0","82.05","0","567.85","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","29600","0","0","0","70","0","513.7","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","29700","0","0","0","160.4","0","462.8","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","29800","0","0","0","141.15","0","415.5","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","29900","0","0","0","123.8","0","371.55","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","30000","0","0","0","108.25","0","330.9","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","CE","30100","0","0","0","194.4","0","293.55","0","0","0","0","0","29582.5"
