"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","CE","25000","0","0","0","1852.45","0","2664.5","0","0","0","0","0","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","CE","29200","0","0","0","2.8","0","1.9","0","0","0","0","0","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","CE","25200","0","0","0","1760.3","0","2464.8","0","0","0","0","0","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","CE","25300","0","0","0","1673.25","0","2364.95","0","0","0","0","0","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","CE","25400","0","0","0","1587.75","0","2265.1","0","0","0","0","0","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","CE","25500","0","0","0","1893.15","0","2165.3","0","0","0","0","0","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","CE","25600","1920","1920","1920","1920","1920","1920","1","5.5",".38","20","20","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","CE","25700","0","0","0","1975.8","0","1965.65","0","0","0","0","0","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","CE","25800","0","0","0","1891.6","0","1865.9","0","0","0","0","0","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","CE","25900","0","0","0","2092.65","0","1766.2","0","0","0","0","0","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","CE","26000","1650","1650","1552.1","1598.6","1598.6","1598.6","19","104.94","6.14","280","180","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","CE","26100","0","0","0","1926.85","0","1567.15","0","0","0","0","0","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","CE","26200","0","0","0","1846.05","0","1468","0","0","0","0","0","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","CE","26300","0","0","0","1766.7","0","1369.2","0","0","0","0","0","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","CE","26400","0","0","0","1688.9","0","1271","0","0","0","0","0","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","CE","26500","1111","1170","1105","1110.4","1110.4","1110.4","32","176.92","7.32","700","200","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","CE","26600","1020","1040","976","1040","1040","1040","3","16.57",".61","140","40","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","CE","26700","960","960","919.7","919.7","919.7","919.7","2","11.06",".38","660","0","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","CE","26800","840","866.55","775","831.5","831.5","831.5","21","116.04","3.48","7080","120","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","CE","26900","789.9","789.9","666.55","761.65","755.75","761.65","148","817.9","21.66","9520","-580","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","CE","27000","677.35","730","579.9","663.5","669.15","663.5","1692","9359.58","222.78","53640","1200","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","CE","27100","596.35","640.6","505","588.6","585.8","588.6","519","2871.81","58.83","11160","4020","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","CE","27200","484.7","557.95","434.4","508.05","500.6","508.05","935","5179.94","93.54","17420","380","27625.65"
