"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","CE","31600","197.5","373","195.05","333.9","354.45","333.9","502","3200.57","27.93","5120","2820","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","CE","31700","178","340","175","304.5","321.55","304.5","444","2835.75","20.79","5160","2440","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","CE","31800","124","300.05","124","284.8","290.5","284.8","981","6281.25","42.09","10540","6100","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","CE","31900","156","269.55","150","236.95","235","236.95","347","2226.85","12.99","1540","320","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","CE","32000","129","237.1","113.15","207.3","221","207.3","16950","109049.76","569.76","198140","-3760","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","CE","32100","105.8","200","105.8","183.55","200","183.55","142","916.13","4.49","2620","1540","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","CE","32200","97.6","185.75","85.35","153.15","165","153.15","3264","21101.65","81.49","60140","4740","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","CE","32300","70","150.05","70","137.55","136.1","137.55","695","4506.32","16.62","8380","8380","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","CE","25200","5598.85","5608.85","5598.85","5608.85","5608.85","5980.9","2","12.32","2.24","520","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","CE","25300","0","0","0","2516.65","0","5881.2","0","0","0","0","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","CE","25400","0","0","0","2449.6","0","5781.45","0","0","0","0","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","CE","25500","5161.95","5353.55","5161.95","5340.45","5340.45","5681.75","13","80.12","13.82","8820","-20","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","CE","25600","0","0","0","2318.7","0","5582.05","0","0","0","0","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","CE","25700","0","0","0","2662.65","0","5482.35","0","0","0","0","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","CE","25800","0","0","0","2595.75","0","5382.7","0","0","0","0","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","CE","25900","0","0","0","2529.85","0","5283","0","0","0","0","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","CE","26000","4837.15","4856.65","4769.75","4769.75","4769.75","5183.35","8","49.33","7.73","7360","-100","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","CE","26100","0","0","0","2401","0","5083.75","0","0","0","0","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","CE","26200","0","0","0","2338.15","0","4984.15","0","0","0","0","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","CE","26300","0","0","0","2276.25","0","4884.6","0","0","0","0","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","CE","26400","0","0","0","2215.45","0","4785.05","0","0","0","0","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","CE","26500","4177.25","4362.45","4177.25","4362.45","4362.45","4685.6","3","18.48","2.58","3780","20","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","CE","26600","0","0","0","2096.85","0","4586.2","0","0","0","0","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","CE","26700","0","0","0","2039.15","0","4486.85","0","0","0","0","0","31115.55"
