"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","14-May-2019","30-May-2019","CE","31600","0","0","0","143.4","133.5","3.8","0","0","0","5380","0","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","31700","0","0","0","152","152","2.95","0","0","0","480","0","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","31800","0","0","0","125","125","2.3","0","0","0","180","0","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","31900","0","0","0","160","160","1.8","0","0","0","640","0","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","32000","92","125.05","81","102.05","107.5","102.05","4311","27675.55","85.15","211180","6000","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","32100","89.95","107","72","90.4","94.95","90.4","383","2465.38","6.52","38640","-2380","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","25200","3604.05","3970","3604.05","3811.45","3810","3811.45","34","196.93","25.57","10200","-60","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","25300","0","0","0","2063.3","0","3603.8","0","0","0","0","0","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","25400","0","0","0","1978.65","0","3504.15","0","0","0","0","0","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","25500","3740","3740","3740","3740","3740","3740","4","23.39","2.99","5960","-80","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","25600","0","0","0","1813.45","0","3304.8","0","0","0","0","0","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","25700","0","0","0","1733.05","0","3205.2","0","0","0","0","0","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","25800","0","0","0","1654.2","0","3105.6","0","0","0","0","0","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","25900","0","0","0","1577","0","3006.1","0","0","0","0","0","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","26000","2883.65","3189","2883.65","3124.95","3124.95","3124.95","15","87.13","9.13","25400","100","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","26100","0","0","0","3888","3888","2807.25","0","0","0","140","0","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","26200","0","0","0","1355.6","0","2707.95","0","0","0","0","0","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","26300","0","0","0","1285.65","0","2608.85","0","0","0","0","0","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","26400","0","0","0","1217.7","0","2509.9","0","0","0","0","0","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","26500","2529.75","2616.8","2529.75","2616.8","2616.8","2616.8","5","29.07","2.57","11520","-20","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","26600","0","0","0","3845","3845","2312.8","0","0","0","40","0","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","26700","0","0","0","3300","3300","2214.8","0","0","0","40","0","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","26800","0","0","0","966.35","0","2117.2","0","0","0","0","0","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","26900","0","0","0","3100","3100","2020.2","0","0","0","60","0","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","27000","2091.45","2375","2066.75","2242.75","2250","2242.75","80","466.86","34.86","45960","60","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","27100","0","0","0","3000","3000","1828.3","0","0","0","100","0","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","27200","0","0","0","749.35","0","1733.7","0","0","0","0","0","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","27300","0","0","0","2700","2700","1640.15","0","0","0","20","0","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","27400","0","0","0","2000","2000","1547.9","0","0","0","40","0","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","27500","1732.75","2040.75","1732.75","1827.85","1827.85","1827.85","32","187.63","11.63","33720","-160","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","27600","0","0","0","2500","2500","1367.9","0","0","0","20","0","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","27700","0","0","0","2400","2400","1280.5","0","0","0","40","0","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","27800","0","0","0","488.85","0","1195.2","0","0","0","0","0","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","27900","0","0","0","2250","2250","1112.1","0","0","0","40","0","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","28000","1410.8","1689.75","1390","1521.35","1565","1521.35","3086","18171.18","889.58","89520","-45300","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","28100","0","0","0","386.6","0","953.5","0","0","0","0","0","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","28200","0","0","0","356.4","0","879.4","0","0","0","0","0","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","28300","0","0","0","2070","2070","806.05","0","0","0","60","0","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","28400","0","0","0","1870","1870","737.1","0","0","0","520","0","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","28500","1110.35","1375.9","1076.45","1196.05","1247.3","1196.05","1541","9144.34","360.64","26880","-980","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","28600","1055.2","1289.45","1012.55","1145.25","1126.55","1145.25","83","492.78","18.02","860","740","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","28700","988.95","1245.75","979.35","1089.75","1089.7","1089.75","250","1487.34","52.34","1840","1540","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","28800","986.35","1178.7","904.25","1029","1060.95","1029","758","4518.83","152.75","8620","4660","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","28900","888.75","1100.35","874.2","977.3","1007.4","977.3","413","2464.99","77.85","5480","-3360","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","29000","865.95","1060.8","817.35","926.65","962.7","926.65","10603","63381.57","1884.17","446580","17100","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","29100","800.45","1013.1","779.15","889.7","901.1","889.7","562","3366.07","95.23","4560","-2160","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","29200","736.6","960","731.6","833.2","856","833.2","646","3877.42","104.78","4940","1100","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","29300","713","900","693.65","780.55","802.25","780.55","241","1448.58","36.32","3620","-380","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","29400","668.95","855","652.5","739.95","765","739.95","198","1193.8","29.56","3340","160","-"
"BANKNIFTY","14-May-2019","30-May-2019","CE","29500","660.05","820.45","604.65","692.4","730","692.4","5809","35062.25","789.15","116540","-7200","-"
