"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","30400","0","0","0","1477.45","0","896.65","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","26000","0","0","0","123.95","0","0.1","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","30600","0","0","0","1246","0","1047.7","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","30700","0","0","0","1325.1","0","1126.85","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","30800","0","0","0","1406.1","0","1208.25","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","30900","0","0","0","1488.95","0","1291.75","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","31000","0","0","0","1573.4","0","1377.2","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","31100","0","0","0","1476.2","0","1464.35","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","31200","0","0","0","1560.85","0","1553.15","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","31300","0","0","0","1489.5","0","1643.4","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","31400","0","0","0","1575.75","0","1734.9","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","29300","0","0","0","1435.45","0","287.45","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","29400","0","0","0","1520.4","0","326.15","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","29500","0","0","0","1427.35","0","368.2","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","29600","0","0","0","1514.65","0","413.65","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","29700","0","0","0","1241.25","0","462.4","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","29800","0","0","0","1321.4","0","514.7","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","29900","0","0","0","1403.45","0","570.3","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","30000","0","0","0","1487.3","0","629.3","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","30100","0","0","0","1237.7","0","691.55","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","30200","0","0","0","1315.7","0","756.9","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","30300","0","0","0","1395.7","0","825.35","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","28300","0","0","0","988.7","0","59.7","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","28400","0","0","0","1052.6","0","71.85","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","28500","0","0","0","1118.5","0","85.85","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","28600","0","0","0","1186.45","0","102","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","28700","0","0","0","1256.3","0","120.35","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","28800","0","0","0","1328.1","0","141.15","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","28900","0","0","0","1402.9","0","164.6","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","29000","0","0","0","1477.25","0","190.65","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","29100","0","0","0","1458.5","0","219.8","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","29200","0","0","0","1541.9","0","252.05","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","27200","0","0","0","432.95","0","4.85","0","0","0","0","0","29582.5"
"BANKNIFTY","22-Mar-2019","11-Apr-2019","PE","27300","0","0","0","472.1","0","6.3","0","0","0","0","0","29582.5"
