"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","PE","25000","0","0","0","51.05","0","0","0","0","0","0","0","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","PE","29200","0","0","0","1598.15","0","1530.9","0","0","0","0","0","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","PE","25200","0","0","0","71.95","0","0","0","0","0","0","0","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","PE","25300","0","0","0","83.95","0","0.05","0","0","0","0","0","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","PE","25400","0","0","0","97.5","0","0.05","0","0","0","0","0","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","PE","25500","8.4","9","7.05","7.85","8.25","7.85","302","1540.7",".5","5660","1900","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","PE","25600","3.25","3.25","3.25","3.25","3.25","3.25","1","5.12","0","20","20","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","PE","25700","0","0","0","113.35","0","0.1","0","0","0","0","0","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","PE","25800","0","0","0","38","38","0.2","0","0","0","100","0","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","PE","25900","12.75","14.5","10.2","12.3","11.4","12.3","46","238.4",".12","460","360","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","PE","26000","10","20.55","10","13.15","12.05","13.15","4494","23382.48","13.68","41160","4140","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","PE","26100","13.1","20.4","12.35","12.85","12.5","12.85","230","1201.35",".75","1800","60","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","PE","26200","22","22","11","14.4","11","14.4","623","3266.57","2.05","10640","2680","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","PE","26300","25.55","26.35","12.25","17.85","18","17.85","712","3747.99","2.87","9360","-1020","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","PE","26400","37.95","37.95","19.1","22.25","20.8","22.25","1224","6468.42","5.7","11520","3020","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","PE","26500","32","36.1","22.6","27.4","25.8","27.4","14097","74797.76","83.66","111240","22840","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","PE","26600","29","45.75","28.05","30.75","30","30.75","2258","12027.94","15.38","17360","6180","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","PE","26700","40.7","54.1","33.7","37.05","36.25","37.05","3724","19916.99","30.83","20900","9900","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","PE","26800","52.65","63.55","41.3","44.7","44","44.7","4152","22296.57","41.85","32220","9380","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","PE","26900","61","77.65","50.3","55.25","57","55.25","4169","22480.41","51.19","28540","9880","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","PE","27000","87.15","99.5","56.85","67.3","67","67.3","26904","145688.63","407.03","156100","41720","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","PE","27100","73.45","114.05","73.45","81.75","80.75","81.75","5755","31298.29","106.19","48100","9860","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","PE","27200","110","138","84.65","100.3","101","100.3","9819","53636.26","220.9","46400","12920","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","PE","27300","148.7","165.7","116.2","124.6","123","124.6","13178","72310.79","358.91","60940","32420","27625.65"
"BANKNIFTY","06-Mar-2019","14-Mar-2019","PE","27400","170.55","197.6","140","151","147","151","11859","65381.97","394.65","37580","19840","27625.65"
