"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","07-May-2019","23-May-2019","PE","27700","188.9","252","180","252","252","252","6","33.5",".26","380","120","29288.2"
"BANKNIFTY","07-May-2019","23-May-2019","PE","32100","0","0","0","1536.65","0","2721.7","0","0","0","0","0","29288.2"
"BANKNIFTY","07-May-2019","23-May-2019","PE","27900","0","0","0","198.8","0","50.7","0","0","0","0","0","29288.2"
"BANKNIFTY","07-May-2019","23-May-2019","PE","28000","0","0","0","153.55","153.55","61.4","0","0","0","20","0","29288.2"
"BANKNIFTY","07-May-2019","23-May-2019","PE","28100","0","0","0","182.35","0","73.9","0","0","0","0","0","29288.2"
"BANKNIFTY","07-May-2019","23-May-2019","PE","28200","0","0","0","184.95","0","88.3","0","0","0","0","0","29288.2"
"BANKNIFTY","07-May-2019","23-May-2019","PE","28300","0","0","0","203","203","104.85","0","0","0","100","0","29288.2"
"BANKNIFTY","07-May-2019","23-May-2019","PE","28400","0","0","0","222.4","0","123.7","0","0","0","0","0","29288.2"
"BANKNIFTY","07-May-2019","23-May-2019","PE","28500","0","0","0","243.2","0","145.05","0","0","0","0","0","29288.2"
"BANKNIFTY","07-May-2019","23-May-2019","PE","28600","0","0","0","265.35","0","170.2","0","0","0","0","0","29288.2"
"BANKNIFTY","07-May-2019","23-May-2019","PE","28700","0","0","0","289","0","195.7","0","0","0","0","0","29288.2"
"BANKNIFTY","07-May-2019","23-May-2019","PE","28800","0","0","0","315.2","0","225.6","0","0","0","0","0","29288.2"
"BANKNIFTY","07-May-2019","23-May-2019","PE","28900","0","0","0","340.5","0","258.55","0","0","0","0","0","29288.2"
"BANKNIFTY","07-May-2019","23-May-2019","PE","29000","539.15","630","506.9","629","629","629","64","378.29","7.09","2240","1180","29288.2"
"BANKNIFTY","07-May-2019","23-May-2019","PE","29100","0","0","0","398.75","0","334.3","0","0","0","0","0","29288.2"
"BANKNIFTY","07-May-2019","23-May-2019","PE","29200","511","511","511","511","511","511","1","5.94",".1","20","20","29288.2"
"BANKNIFTY","07-May-2019","23-May-2019","PE","29300","0","0","0","463.7","0","423.5","0","0","0","0","0","29288.2"
"BANKNIFTY","07-May-2019","23-May-2019","PE","29400","0","0","0","498.8","0","473.15","0","0","0","0","0","29288.2"
"BANKNIFTY","07-May-2019","23-May-2019","PE","29500","735","900","735","900","900","900","7","42.38","1.08","120","120","29288.2"
"BANKNIFTY","07-May-2019","23-May-2019","PE","29600","0","0","0","574.2","0","582.95","0","0","0","0","0","29288.2"
"BANKNIFTY","07-May-2019","23-May-2019","PE","29700","0","0","0","614.6","0","642.85","0","0","0","0","0","29288.2"
"BANKNIFTY","07-May-2019","23-May-2019","PE","29800","626","626","626","626","626","626","1","6.09",".13","40","20","29288.2"
"BANKNIFTY","07-May-2019","23-May-2019","PE","29900","0","0","0","700.8","0","772.3","0","0","0","0","0","29288.2"
"BANKNIFTY","07-May-2019","23-May-2019","PE","30000","995","1229","995","1223.6","1201.8","1223.6","66","409.72","13.72","1600","1140","29288.2"
"BANKNIFTY","07-May-2019","23-May-2019","PE","30100","0","0","0","794.3","0","913.85","0","0","0","0","0","29288.2"
"BANKNIFTY","07-May-2019","23-May-2019","PE","30200","0","0","0","701","701","989","0","0","0","20","0","29288.2"
"BANKNIFTY","07-May-2019","23-May-2019","PE","30300","829.1","1100","829.1","1100","1100","1100","8","50","1.52","160","140","29288.2"
"BANKNIFTY","07-May-2019","23-May-2019","PE","30400","0","0","0","948.05","0","1146.5","0","0","0","0","0","29288.2"
"BANKNIFTY","07-May-2019","23-May-2019","PE","30500","0","0","0","1002.95","0","1228.65","0","0","0","0","0","29288.2"
"BANKNIFTY","07-May-2019","23-May-2019","PE","30600","0","0","0","1059.65","0","1312.85","0","0","0","0","0","29288.2"
