"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","PE","31600","0","0","0","2730.25","0","951.25","0","0","0","0","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","PE","31700","0","0","0","1320.55","1320.55","1011.95","0","0","0","20","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","PE","31800","0","0","0","1180","1180","1074.65","0","0","0","120","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","PE","31900","0","0","0","2906.3","0","1139.4","0","0","0","0","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","PE","32000","1455","1455","1050.35","1108.9","1069.2","1108.9","449","2982.9","109.3","31140","1640","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","PE","32100","0","0","0","1529.4","1529.4","1274.7","0","0","0","20","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","PE","32200","1452.25","1452.25","1190.1","1209.95","1190.1","1209.95","18","120.39","4.47","3680","260","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","PE","32300","0","0","0","1725.45","0","1417.4","0","0","0","0","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","PE","25200","12","12","8","8.45","8","8.45","231","1164.69",".45","19240","460","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","PE","25300","0","0","0","628.5","0","0.1","0","0","0","0","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","PE","25400","0","0","0","660.05","0","0.1","0","0","0","0","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","PE","25500","9","10.9","8.55","9.55","8.55","9.55","229","1168.36",".46","13300","1940","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","PE","25600","0","0","0","726.3","0","0.2","0","0","0","0","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","PE","25700","0","0","0","664.5","0","0.25","0","0","0","0","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","PE","25800","0","0","0","696.05","0","0.3","0","0","0","0","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","PE","25900","0","0","0","728.65","0","0.35","0","0","0","0","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","PE","26000","17","17","9","11.5","12","11.5","115","598.28",".28","24960","-40","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","PE","26100","0","0","0","796.75","0","0.55","0","0","0","0","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","PE","26200","0","0","0","832.35","0","0.7","0","0","0","0","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","PE","26300","0","0","0","868.95","0","0.9","0","0","0","0","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","PE","26400","0","0","0","906.6","0","1.1","0","0","0","0","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","PE","26500","14","17.9","12","12.15","12.05","12.15","179","949.26",".56","14960","840","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","PE","26600","0","0","0","984.95","0","1.7","0","0","0","0","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","PE","26700","0","0","0","1025.7","0","2.1","0","0","0","0","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","PE","26800","0","0","0","1067.5","0","2.6","0","0","0","0","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","PE","26900","0","0","0","1110.35","0","3.15","0","0","0","0","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","PE","27000","48","48","17.6","18.7","18.5","18.7","1054","5696.42","4.82","56020","-3000","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","PE","27100","0","0","0","1199.1","0","4.65","0","0","0","0","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","PE","27200","0","0","0","1245.1","0","5.6","0","0","0","0","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","PE","27300","0","0","0","1292.1","0","6.75","0","0","0","0","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","PE","27400","0","0","0","1340.15","0","8.1","0","0","0","0","0","31115.55"
"BANKNIFTY","11-Nov-2019","28-Nov-2019","PE","27500","38.9","38.9","23.25","25.25","25.5","25.25","881","4850.55","5.05","37640","-60","31115.55"
