"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","12-Jun-2019","27-Jun-2019","PE","27000","6","6","2.3","4.35","5.5","4.35","247","1334.02",".22","58120","-380","30965.7"
"BANKNIFTY","12-Jun-2019","27-Jun-2019","PE","33300","0","0","0","2245.2","2245.2","2300.95","0","0","0","40","0","30965.7"
"BANKNIFTY","12-Jun-2019","27-Jun-2019","PE","27200","0","0","0","168.55","0","1.45","0","0","0","0","0","30965.7"
"BANKNIFTY","12-Jun-2019","27-Jun-2019","PE","27300","0","0","0","1","1","1.85","0","0","0","20","0","30965.7"
"BANKNIFTY","12-Jun-2019","27-Jun-2019","PE","27400","0","0","0","179.7","0","2.35","0","0","0","0","0","30965.7"
"BANKNIFTY","12-Jun-2019","27-Jun-2019","PE","27500","5.9","6.5","3.65","4.9","5.65","4.9","69","379.57",".07","31840","200","30965.7"
"BANKNIFTY","12-Jun-2019","27-Jun-2019","PE","27600","0","0","0","1.1","1.1","3.75","0","0","0","20","0","30965.7"
"BANKNIFTY","12-Jun-2019","27-Jun-2019","PE","27700","0","0","0","188.75","0","4.65","0","0","0","0","0","30965.7"
"BANKNIFTY","12-Jun-2019","27-Jun-2019","PE","27800","0","0","0","207.7","0","5.8","0","0","0","0","0","30965.7"
"BANKNIFTY","12-Jun-2019","27-Jun-2019","PE","27900","0","0","0","224.8","0","7.2","0","0","0","0","0","30965.7"
"BANKNIFTY","12-Jun-2019","27-Jun-2019","PE","28000","8","10","7.05","7.6","7.25","7.6","142","795.44",".24","62480","-200","30965.7"
"BANKNIFTY","12-Jun-2019","27-Jun-2019","PE","28100","0","0","0","239.15","0","10.8","0","0","0","0","0","30965.7"
"BANKNIFTY","12-Jun-2019","27-Jun-2019","PE","28200","0","0","0","218.25","0","13.2","0","0","0","0","0","30965.7"
"BANKNIFTY","12-Jun-2019","27-Jun-2019","PE","28300","0","0","0","249.05","0","16","0","0","0","0","0","30965.7"
"BANKNIFTY","12-Jun-2019","27-Jun-2019","PE","28400","0","0","0","269.55","0","19.3","0","0","0","0","0","30965.7"
"BANKNIFTY","12-Jun-2019","27-Jun-2019","PE","28500","16.15","19.95","11","12.25","12.35","12.25","229","1306.01",".71","38520","180","30965.7"
"BANKNIFTY","12-Jun-2019","27-Jun-2019","PE","28600","0","0","0","289.05","0","27.65","0","0","0","0","0","30965.7"
"BANKNIFTY","12-Jun-2019","27-Jun-2019","PE","28700","30","30","30","30","30","30","1","5.75",".01","20","0","30965.7"
"BANKNIFTY","12-Jun-2019","27-Jun-2019","PE","28800","0","0","0","41","41","38.9","0","0","0","2200","0","30965.7"
"BANKNIFTY","12-Jun-2019","27-Jun-2019","PE","28900","0","0","0","47.05","47.05","45.85","0","0","0","0","0","30965.7"
"BANKNIFTY","12-Jun-2019","27-Jun-2019","PE","29000","22.05","37.6","21.95","25.05","24.8","25.05","4503","26144.02","26.62","333360","-26240","30965.7"
"BANKNIFTY","12-Jun-2019","27-Jun-2019","PE","29100","0","0","0","67","67","62.8","0","0","0","80","0","30965.7"
"BANKNIFTY","12-Jun-2019","27-Jun-2019","PE","29200","0","0","0","50","50","73","0","0","0","240","0","30965.7"
