"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"VEDL","25-Apr-2019","30-May-2019","CE","210","1","1.15","1","1.05","1.1","1.05","33","160.18",".79","154100","66700","170.45"
"VEDL","25-Apr-2019","30-May-2019","CE","205","1.45","1.45","1.2","1.25","1.35","1.25","14","66.42",".41","55200","29900","170.45"
"VEDL","25-Apr-2019","30-May-2019","CE","220","0.5","1.1","0.45","1.1","1.1","1.1","4","20.3",".06","39100","4600","170.45"
"VEDL","25-Apr-2019","30-May-2019","CE","225","0.5","0.5","0.5","0.5","0.5","0.5","1","5.19",".01","2300","2300","170.45"
"VEDL","25-Apr-2019","30-May-2019","CE","150","24.2","24.2","24.2","24.2","24.2","24.2","2","8.01","1.11","2300","-2300","170.45"
"VEDL","25-Apr-2019","30-May-2019","CE","160","18.5","18.5","18.45","18.45","18.45","18.45","2","8.21",".85","6900","4600","170.45"
"VEDL","25-Apr-2019","30-May-2019","CE","165","13.25","13.25","12.45","13","13","13","31","126.59","8.95","66700","64400","170.45"
"VEDL","25-Apr-2019","30-May-2019","CE","170","12.4","12.4","9.7","9.9","9.8","9.9","46","190.69","10.83","98900","59800","170.45"
"VEDL","25-Apr-2019","30-May-2019","CE","175","8.9","9.75","7.35","7.6","7.6","7.6","118","497.17","22.22","158700","117300","170.45"
"VEDL","25-Apr-2019","30-May-2019","CE","180","6.7","7.4","5.65","5.8","5.8","5.8","252","1079.27","35.99","418600","167900","170.45"
"VEDL","25-Apr-2019","30-May-2019","CE","185","5.5","5.5","4.2","4.35","4.25","4.35","110","479.83","11.78","158700","57500","170.45"
"VEDL","25-Apr-2019","30-May-2019","CE","190","3.8","4.1","3.1","3.25","3.2","3.25","144","640.87","11.59","466900","184000","170.45"
"VEDL","25-Apr-2019","30-May-2019","CE","195","2.85","2.85","2.3","2.45","2.45","2.45","24","109.03","1.39","96600","25300","170.45"
"VEDL","25-Apr-2019","30-May-2019","CE","200","2.1","2.1","1.7","1.8","1.8","1.8","96","445.7","4.1","448500","131100","170.45"
"VEDL","25-Apr-2019","30-May-2019","CE","215","0.6","0.75","0.6","0.75","0.75","0.75","2","9.92",".03","6900","2300","170.45"
"VEDL","26-Apr-2019","30-May-2019","CE","210","1.05","1.1","0.75","0.8","0.75","0.8","112","543.43","2.47","253000","98900","169.7"
"VEDL","26-Apr-2019","30-May-2019","CE","215","0.6","0.75","0.6","0.7","0.7","0.7","9","44.65",".14","16100","9200","169.7"
"VEDL","26-Apr-2019","30-May-2019","CE","220","0.55","0.6","0.5","0.55","0.55","0.55","18","91.3",".22","52900","13800","169.7"
"VEDL","26-Apr-2019","30-May-2019","CE","225","0.5","0.5","0.5","0.5","0.5","0.5","1","5.19",".01","4600","2300","169.7"
"VEDL","26-Apr-2019","30-May-2019","CE","150","23","23.5","22.25","22.25","22.25","22.25","3","11.93","1.58","9200","6900","169.7"
"VEDL","26-Apr-2019","30-May-2019","CE","165","12.45","12.95","11.4","11.75","11.45","11.75","12","48.91","3.37","71300","4600","169.7"
"VEDL","26-Apr-2019","30-May-2019","CE","170","10","10.95","8.65","9.3","9.25","9.3","387","1599.93","86.76","356500","257600","169.7"
"VEDL","26-Apr-2019","30-May-2019","CE","175","7.55","8.45","6.55","7","6.9","7","585","2455.19","100.56","423200","264500","169.7"
"VEDL","26-Apr-2019","30-May-2019","CE","180","5.9","6.45","4.9","5.25","5.3","5.25","1243","5308.01","161.99","1182200","763600","169.7"
"VEDL","26-Apr-2019","30-May-2019","CE","185","4.3","4.75","3.6","3.8","3.8","3.8","359","1561.84","34.29","292100","133400","169.7"
"VEDL","26-Apr-2019","30-May-2019","CE","190","3.4","3.5","2.6","2.75","2.75","2.75","648","2877.21","45.45","722200","255300","169.7"
"VEDL","26-Apr-2019","30-May-2019","CE","195","2.35","2.5","1.85","1.95","1.85","1.95","181","820.9","9.11","303600","207000","169.7"
"VEDL","26-Apr-2019","30-May-2019","CE","200","1.85","1.85","1.35","1.45","1.45","1.45","293","1358.93","11.13","729100","280600","169.7"
"VEDL","26-Apr-2019","30-May-2019","CE","205","1.4","1.4","1.05","1.05","1.05","1.05","12","56.92",".34","62100","6900","169.7"
"VEDL","30-Apr-2019","30-May-2019","CE","210","0.65","0.65","0.55","0.65","0.65","0.65","44","213.15",".63","299000","46000","166.85"
