"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"VEDL","10-May-2019","30-May-2019","CE","105","0","0","0","67.75","0","51.35","0","0","0","0","0","155.95"
"VEDL","10-May-2019","30-May-2019","CE","250","0","0","0","4.7","0","0","0","0","0","0","0","155.95"
"VEDL","10-May-2019","30-May-2019","CE","115","0","0","0","59.1","0","41.4","0","0","0","0","0","155.95"
"VEDL","10-May-2019","30-May-2019","CE","120","0","0","0","54.45","54.45","36.4","0","0","0","0","0","155.95"
"VEDL","10-May-2019","30-May-2019","CE","125","0","0","0","51.05","0","31.45","0","0","0","0","0","155.95"
"VEDL","10-May-2019","30-May-2019","CE","130","0","0","0","47","47","26.5","0","0","0","2300","0","155.95"
"VEDL","10-May-2019","30-May-2019","CE","135","24","24","23.4","23.4","23.4","23.4","3","10.94","1.63","4600","0","155.95"
"VEDL","10-May-2019","30-May-2019","CE","140","0","0","0","22.95","22.95","17.05","0","0","0","11500","0","155.95"
"VEDL","10-May-2019","30-May-2019","CE","145","15.95","15.95","15.1","15.35","15.35","15.35","3","11.07","1.07","11500","0","155.95"
"VEDL","10-May-2019","30-May-2019","CE","150","14.2","14.2","11","12.05","12","12.05","27","101.12","7.97","71300","27600","155.95"
"VEDL","10-May-2019","30-May-2019","CE","155","11","11.3","8.45","9","9.8","9","114","430.73","24.32","131100","34500","155.95"
"VEDL","10-May-2019","30-May-2019","CE","160","8.25","8.7","6.4","6.7","6.7","6.7","780","3000.08","129.68","1288000","368000","155.95"
"VEDL","10-May-2019","30-May-2019","CE","165","5.9","6.5","4.7","4.8","4.8","4.8","423","1656.02","50.73","448500","82800","155.95"
"VEDL","10-May-2019","30-May-2019","CE","170","4.6","4.8","3.3","3.4","3.3","3.4","802","3204.78","68.96","1474300","18400","155.95"
"VEDL","10-May-2019","30-May-2019","CE","175","3.2","3.5","2.3","2.4","2.5","2.4","235","960.34","14.47","653200","13800","155.95"
"VEDL","10-May-2019","30-May-2019","CE","180","2.6","2.6","1.65","1.75","1.8","1.75","547","2289.61","25.03","1409900","-25300","155.95"
"VEDL","10-May-2019","30-May-2019","CE","185","1.7","1.8","1.1","1.2","1.2","1.2","135","578.64","4.21","508300","16100","155.95"
"VEDL","10-May-2019","30-May-2019","CE","190","1.25","1.3","0.8","0.9","0.9","0.9","370","1625.7","8.8","1046500","-257600","155.95"
"VEDL","10-May-2019","30-May-2019","CE","195","0.9","0.9","0.6","0.6","0.6","0.6","45","202.55",".73","273700","-25300","155.95"
"VEDL","10-May-2019","30-May-2019","CE","200","0.7","0.7","0.45","0.5","0.5","0.5","194","894.99","2.59","901600","16100","155.95"
"VEDL","10-May-2019","30-May-2019","CE","205","0.5","0.5","0.35","0.35","0.35","0.35","8","37.8",".08","66700","-4600","155.95"
"VEDL","10-May-2019","30-May-2019","CE","210","0.45","0.45","0.35","0.35","0.35","0.35","26","125.8",".22","430100","-6900","155.95"
"VEDL","10-May-2019","30-May-2019","CE","215","0","0","0","0.3","0.3","0","0","0","0","6900","0","155.95"
"VEDL","10-May-2019","30-May-2019","CE","220","0.2","0.2","0.2","0.2","0.2","0.2","1","5.06","0","101200","0","155.95"
"VEDL","10-May-2019","30-May-2019","CE","225","0","0","0","0.25","0.25","0","0","0","0","6900","0","155.95"
"VEDL","10-May-2019","30-May-2019","CE","230","0","0","0","0.35","0.35","0","0","0","0","13800","0","155.95"
"VEDL","10-May-2019","30-May-2019","CE","235","0","0","0","6.45","0","0","0","0","0","0","0","155.95"
"VEDL","10-May-2019","30-May-2019","CE","240","0","0","0","5.8","0","0","0","0","0","0","0","155.95"
"VEDL","10-May-2019","30-May-2019","CE","245","0","0","0","5.2","0","0","0","0","0","0","0","155.95"
"VEDL","10-May-2019","30-May-2019","CE","110","0","0","0","63.35","0","46.4","0","0","0","0","0","155.95"
"VEDL","13-May-2019","30-May-2019","CE","105","0","0","0","67.75","0","49.55","0","0","0","0","0","154.2"
"VEDL","13-May-2019","30-May-2019","CE","250","0","0","0","4.7","0","0","0","0","0","0","0","154.2"
"VEDL","13-May-2019","30-May-2019","CE","115","0","0","0","59.1","0","39.6","0","0","0","0","0","154.2"
"VEDL","13-May-2019","30-May-2019","CE","120","0","0","0","54.45","54.45","34.6","0","0","0","0","0","154.2"
"VEDL","13-May-2019","30-May-2019","CE","125","0","0","0","51.05","0","29.6","0","0","0","0","0","154.2"
"VEDL","13-May-2019","30-May-2019","CE","130","0","0","0","47","47","24.65","0","0","0","2300","0","154.2"
"VEDL","13-May-2019","30-May-2019","CE","135","0","0","0","23.4","23.4","19.8","0","0","0","4600","0","154.2"
"VEDL","13-May-2019","30-May-2019","CE","140","17.9","17.9","17.9","17.9","17.9","17.9","1","3.63",".41","11500","0","154.2"
"VEDL","13-May-2019","30-May-2019","CE","145","14.8","14.8","14.8","14.8","14.8","14.8","1","3.68",".34","11500","0","154.2"
"VEDL","13-May-2019","30-May-2019","CE","150","12.25","12.9","10.1","10.9","10.1","10.9","79","292.96","20.41","115000","43700","154.2"
"VEDL","13-May-2019","30-May-2019","CE","155","9.45","9.85","7.5","8.2","8.1","8.2","153","575.29","29.85","165600","34500","154.2"
"VEDL","13-May-2019","30-May-2019","CE","160","6.5","7.35","5.5","6.3","6.1","6.3","720","2757.6","108","1605400","317400","154.2"
"VEDL","13-May-2019","30-May-2019","CE","165","4.6","5.2","3.95","4.5","4.3","4.5","212","827.28","22.74","423200","-25300","154.2"
"VEDL","13-May-2019","30-May-2019","CE","170","3.2","3.65","2.75","3.2","3.05","3.2","568","2263.27","42.39","1345500","-128800","154.2"
