"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"VEDL","10-May-2019","30-May-2019","PE","105","0","0","0","0.3","0.3","0","0","0","0","6900","0","155.95"
"VEDL","10-May-2019","30-May-2019","PE","250","0","0","0","76","76","93.15","0","0","0","50600","0","155.95"
"VEDL","10-May-2019","30-May-2019","PE","115","0","0","0","2.55","0","0","0","0","0","0","0","155.95"
"VEDL","10-May-2019","30-May-2019","PE","120","0.5","0.8","0.45","0.6","0.6","0.6","24","66.57",".33","105800","-6900","155.95"
"VEDL","10-May-2019","30-May-2019","PE","125","0","0","0","4.35","0","0.05","0","0","0","0","0","155.95"
"VEDL","10-May-2019","30-May-2019","PE","130","0.95","1.6","0.95","1.25","1.3","1.25","94","283.83","2.77","174800","-4600","155.95"
"VEDL","10-May-2019","30-May-2019","PE","135","1.05","2.15","1.05","1.8","1.8","1.8","10","31.45",".4","80500","4600","155.95"
"VEDL","10-May-2019","30-May-2019","PE","140","2.15","3.1","1.7","2.5","2.65","2.5","213","698.33","12.47","469200","16100","155.95"
"VEDL","10-May-2019","30-May-2019","PE","145","3.2","4.5","2.95","3.6","3.8","3.6","268","917.33","23.55","213900","34500","155.95"
"VEDL","10-May-2019","30-May-2019","PE","150","4.55","6.3","4.15","5.15","5.45","5.15","859","3068.96","105.41","1039600","32200","155.95"
"VEDL","10-May-2019","30-May-2019","PE","155","6.7","8.6","6","7.25","7.7","7.25","364","1357.99","60.33","427800","-50600","155.95"
"VEDL","10-May-2019","30-May-2019","PE","160","8.6","11.3","8.2","9.8","10.15","9.8","359","1402.3","81.18","782000","-23000","155.95"
"VEDL","10-May-2019","30-May-2019","PE","165","12.4","14.05","12.3","12.9","13.2","12.9","19","77.88","5.78","315100","-6900","155.95"
"VEDL","10-May-2019","30-May-2019","PE","170","14.5","18.1","14.5","16.7","16.9","16.7","23","98.5","8.57","464600","-16100","155.95"
"VEDL","10-May-2019","30-May-2019","PE","175","21","21","20.5","20.5","20.5","20.5","3","13.51","1.43","174800","-2300","155.95"
"VEDL","10-May-2019","30-May-2019","PE","180","23.75","26.65","23.4","25","25","25","12","56.63","6.95","174800","-11500","155.95"
